Time (s),dln[ethane(1)]/dln[k1]: CH3(3)+CH3(3)=ethane(1),dln[ethane(1)]/dln[k2]: CH3(3)+ethane(1)=C2H5(4)+methane(2),dln[ethane(1)]/dln[k3]: H(5)+C2H5(4)=ethane(1),dln[ethane(1)]/dln[k4]: CH3(3)+H(5)=methane(2),dln[ethane(1)]/dln[k5]: H(5)+C2H4(9)=C2H5(4),dln[ethane(1)]/dln[k6]: CH3(3)+C2H5(4)=C2H4(9)+methane(2),dln[ethane(1)]/dln[k7]: C2H5(4)+C2H5(4)=C2H4(9)+ethane(1),dln[ethane(1)]/dln[k8]: H(5)+ethane(1)=C2H5(4)+H2(8),dln[ethane(1)]/dln[k9]: H(5)+methane(2)=CH3(3)+H2(8),dln[ethane(1)]/dln[k10]: H(5)+C2H5(4)=H2(8)+C2H4(9),dln[ethane(1)]/dln[k12]: H(5)+C2H3(14)=C2H4(9),dln[ethane(1)]/dln[k13]: C2H3(14)+methane(2)=CH3(3)+C2H4(9),dln[ethane(1)]/dln[k15]: H(5)+C2H4(9)=H2(8)+C2H3(14),dln[ethane(1)]/dln[k16]: C2H5(4)+C2H3(14)=C2H4(9)+C2H4(9),dln[ethane(1)]/dln[k17]: H(5)+C2H2(20)=C2H3(14),dln[ethane(1)]/dln[k18]: CH3(3)+C2H3(14)=C2H2(20)+methane(2),dln[ethane(1)]/dln[k19]: C2H5(4)+C2H3(14)=C2H2(20)+ethane(1),dln[ethane(1)]/dln[k21]: H(5)+C2H3(14)=H2(8)+C2H2(20),dln[ethane(1)]/dln[k34]: C4H7(40)+C2H5(4)=C4H6(26)+ethane(1)
1.75E-4,-0.1488021,-0.163113,0.1328481,0.1568556,-0.07672119,0.01501964,0.02591268,-0.4771084,-0.03824873,0.01422199,0.003324841,-0.01801263,-0.003995205,0.0,-0.00242918,0.0,0.0,0.0012261,0.0
1.8E-4,-0.1511318,-0.1637085,0.1347997,0.1583966,-0.07678191,0.01527263,0.0264771,-0.4849551,-0.03927736,0.01442556,0.003446611,-0.01850016,-0.004130243,0.0,-0.002485744,0.0,0.0,0.001270996,0.0
1.85E-4,-0.1534239,-0.1642548,0.1367059,0.1598884,-0.07682628,0.01552011,0.02703283,-0.4926511,-0.04029105,0.01462417,0.00356855,-0.01898104,-0.004264347,0.0,-0.002541363,0.0,0.001016698,0.001315955,0.0
1.9E-4,-0.15568,-0.1647551,0.1385685,0.1613337,-0.07685561,0.01576227,0.02758008,-0.5002025,-0.04128998,0.01481805,0.003690629,-0.01945532,-0.004397484,0.0,-0.00259606,0.0,0.001058794,0.001360967,0.0
1.95E-4,-0.1579013,-0.1652124,0.1403894,0.1627348,-0.07687111,0.0159993,0.02811904,-0.5076149,-0.04227434,0.01500739,0.003812822,-0.01992308,-0.004529628,0.0,-0.002649856,0.0,0.001101205,0.001406021,0.0
2.0E-4,-0.1600892,-0.1656295,0.1421703,0.164094,-0.07687386,0.01623138,0.02864993,-0.5148935,-0.04324431,0.01519239,0.003935105,-0.02038442,-0.004660755,0.0,-0.002702775,0.0,0.001143913,0.00145111,0.0
2.05E-4,-0.1622449,-0.166009,0.1439129,0.1654133,-0.07686484,0.01645866,0.02917293,-0.5220434,-0.04420009,0.01537322,0.004057455,-0.02083941,-0.004790846,0.0,-0.002754836,0.0,0.001186902,0.001496225,0.0
2.1E-4,-0.1643695,-0.166353,0.1456186,0.1666947,-0.07684497,0.01668132,0.02968823,-0.5290692,-0.04514188,0.01555004,0.00417985,-0.02128814,-0.004919886,0.0,-0.002806061,0.0,0.001230157,0.001541357,0.0
2.15E-4,-0.1664642,-0.1666639,0.1472889,0.1679399,-0.07681507,0.01689951,0.030196,-0.5359752,-0.04606988,0.01572301,0.004302271,-0.0217307,-0.005047859,0.0,-0.002856467,0.0,0.001273664,0.0015865,0.0
2.2E-4,-0.1685299,-0.1669436,0.1489252,0.1691506,-0.0767759,0.01711336,0.03069641,-0.5427658,-0.0469843,0.01589228,0.0044247,-0.02216718,-0.005174755,0.0,-0.002906076,0.0,0.001317407,0.001631647,0.0
2.25E-4,-0.1705675,-0.1671941,0.1505286,0.1703284,-0.07672815,0.01732301,0.03118964,-0.5494447,-0.04788534,0.01605799,0.004547118,-0.02259766,-0.005300567,0.0,-0.002954905,0.0,0.001361373,0.001676792,0.0
2.3E-4,-0.172578,-0.1674169,0.1521004,0.1714747,-0.07667245,0.0175286,0.03167584,-0.5560157,-0.04877321,0.01622026,0.00466951,-0.02302224,-0.005425286,0.0,-0.003002972,0.0,0.001405551,0.001721928,0.0
2.35E-4,-0.1745623,-0.1676139,0.1536417,0.1725909,-0.07660941,0.01773025,0.03215517,-0.5624824,-0.04964811,0.01637922,0.004791861,-0.023441,-0.005548909,0.0,-0.003050295,0.0,0.001449926,0.00176705,0.0
2.4E-4,-0.1765212,-0.1677863,0.1551536,0.1736782,-0.07653955,0.01792807,0.03262778,-0.568848,-0.05051026,0.01653498,0.004914156,-0.02385403,-0.005671434,0.0,-0.00309689,0.0,0.001494489,0.001812153,0.0
2.45E-4,-0.1784554,-0.1679357,0.156637,0.1747379,-0.07646338,0.01812219,0.03309381,-0.5751158,-0.05135984,0.01668766,0.005036381,-0.02426142,-0.005792857,0.0,-0.003142774,0.0,0.001539227,0.001857232,0.0
2.5E-4,-0.1803656,-0.1680634,0.158093,0.175771,-0.07638135,0.0183127,0.03355341,-0.5812887,-0.05219707,0.01683735,0.005158526,-0.02466326,-0.005913181,0.0,-0.003187963,0.0,0.001584131,0.001902283,0.0
2.55E-4,-0.1822526,-0.1681705,0.1595223,0.1767787,-0.07629388,0.01849971,0.03400671,-0.5873697,-0.05302215,0.01698417,0.005280576,-0.02505964,-0.006032406,0.0,-0.003232471,0.0,0.001629189,0.0019473,0.0
2.6E-4,-0.184117,-0.1682582,0.160926,0.177762,-0.07620138,0.01868332,0.03445384,-0.5933613,-0.05383527,0.01712819,0.005402522,-0.02545064,-0.006150535,0.0,-0.003276314,0.0,0.001674392,0.001992281,0.0
2.65E-4,-0.1859594,-0.1683276,0.1623048,0.1787217,-0.07610421,0.01886362,0.03489493,-0.5992663,-0.05463662,0.01726951,0.005524353,-0.02583634,-0.006267571,0.0,-0.003319505,0.0,0.001719731,0.00203722,0.0
2.7E-4,-0.1877805,-0.1683797,0.1636595,0.1796587,-0.0760027,0.01904071,0.0353301,-0.605087,-0.0554264,0.01740821,0.005646059,-0.02621683,-0.00638352,0.0,-0.00336206,0.0,0.001765196,0.002082114,0.0
2.75E-4,-0.1895807,-0.1684153,0.1649907,0.180574,-0.07589716,0.01921467,0.03575948,-0.6108259,-0.0562048,0.01754438,0.00576763,-0.0265922,-0.006498386,0.0,-0.003403991,0.001017413,0.00181078,0.002126961,0.0
2.8E-4,-0.1913608,-0.1684354,0.1662993,0.1814683,-0.07578788,0.01938558,0.03618317,-0.6164852,-0.05697201,0.01767809,0.005889058,-0.02696252,-0.006612177,0.0,-0.003445312,0.001040046,0.001856474,0.002171756,0.0
2.85E-4,-0.1931211,-0.1684409,0.1675859,0.1823423,-0.07567514,0.01955353,0.0366013,-0.622067,-0.05772821,0.01780941,0.006010335,-0.02732788,-0.006724898,0.0,-0.003486035,0.001062658,0.001902269,0.002216497,0.0
2.9E-4,-0.1948621,-0.1684324,0.1688511,0.1831968,-0.07555918,0.01971859,0.03701397,-0.6275735,-0.05847358,0.01793842,0.006131451,-0.02768835,-0.006836557,0.0,-0.003526173,0.001085246,0.001948159,0.002261181,0.0
2.95E-4,-0.1965845,-0.1684107,0.1700955,0.1840324,-0.07544024,0.01988083,0.03742128,-0.6330064,-0.0592083,0.01806517,0.006252401,-0.02804402,-0.006947164,0.0,-0.003565737,0.001107808,0.001994136,0.002305804,0.0
3.0E-4,-0.1982885,-0.1683765,0.1713198,0.1848497,-0.07531854,0.02004033,0.03782335,-0.6383678,-0.05993254,0.01818974,0.006373176,-0.02839495,-0.007056725,0.0,-0.003604739,0.001130343,0.002040193,0.002350365,0.0
3.05E-4,-0.1999746,-0.1683305,0.1725244,0.1856495,-0.07519428,0.02019715,0.03822026,-0.6436595,-0.06064648,0.01831219,0.00649377,-0.02874122,-0.007165251,0.0,-0.003643191,0.001152847,0.002086323,0.002394861,0.0
3.1E-4,-0.2016433,-0.1682731,0.1737099,0.1864322,-0.07506764,0.02035136,0.03861212,-0.6488831,-0.06135028,0.01843256,0.006614177,-0.02908292,-0.00727275,0.0,-0.003681103,0.001175319,0.00213252,0.002439289,0.0
3.15E-4,-0.203295,-0.1682052,0.1748769,0.1871984,-0.0749388,0.02050302,0.03899902,-0.6540403,-0.06204412,0.01855092,0.006734391,-0.0294201,-0.007379233,0.0,-0.003718486,0.001197757,0.002178777,0.002483647,0.0
3.2E-4,-0.20493,-0.168127,0.1760257,0.1879487,-0.07480793,0.02065219,0.03938105,-0.6591328,-0.06272815,0.01866732,0.006854405,-0.02975285,-0.00748471,0.0,-0.00375535,0.00122016,0.002225089,0.002527933,0.0
3.25E-4,-0.2065487,-0.1680393,0.177157,0.1886835,-0.07467519,0.02079894,0.0397583,-0.664162,-0.06340253,0.01878182,0.006974215,-0.03008122,-0.00758919,0.0,-0.003791705,0.001242526,0.00227145,0.002572146,0.0
3.3E-4,-0.2081515,-0.1679424,0.178271,0.1894033,-0.07454071,0.02094331,0.04013086,-0.6691294,-0.06406742,0.01889446,0.007093815,-0.0304053,-0.007692685,0.0,-0.003827562,0.001264852,0.002317854,0.002616282,0.0
3.35E-4,-0.2097387,-0.1678368,0.1793683,0.1901086,-0.07440463,0.02108537,0.04049881,-0.6740364,-0.06472297,0.01900528,0.0072132,-0.03072515,-0.007795206,0.0,-0.003862929,0.001287139,0.002364296,0.002660341,0.0
3.4E-4,-0.2113107,-0.1677229,0.1804493,0.1907997,-0.07426707,0.02122516,0.04086223,-0.6788845,-0.06536934,0.01911434,0.007332365,-0.03104082,-0.007896763,0.0,-0.003897815,0.001309383,0.00241077,0.002704321,0.001023429
