
nbutane	      -28.28       76.34       25.39       30.69       35.76       40.25       47.63       53.34       62.48  0.0  0.0  0.0 

ibutane	      -30.67       71.16       23.90       30.21       35.82       40.56       48.08       53.80       63.01  0.0  0.0  0.0 

HCCCCH	      113.13       59.15       17.18       19.78       21.53       22.84       24.83       26.35       28.87  0.0  0.0  0.0 

HC2	      137.14       51.64       10.34       10.64       10.89       11.15       11.70       12.22       13.21  0.0  0.0  0.0 

//C2_s	      197.56       45.46        6.97        7.06        7.23        7.43        7.80        8.09        8.49  0.0  0.0  0.0 

C2(T)	      200.80       47.81        6.99        7.13        7.33        7.55        7.93        8.20        8.56  0.0  0.0  0.0 

C2O(S)	      110.61       53.61       10.25       11.02       11.64       12.16       12.94       13.46       14.15  0.0  0.0  0.0 

C2O	       91.89       55.84       10.34       11.10       11.70       12.21       12.97       13.48       14.16  0.0  0.0  0.0 

H2	       -0.01       31.09        6.95        6.95        6.95        6.95        7.00        7.10        7.49  0.0  0.0  0.0 

CH	      142.34       42.27        6.95        6.96        6.99        7.06        7.29        7.55        8.08  0.0  0.0  0.0 

