C2H5TXcC6H10	CC[C]1CCCCC1	! Confirmed by Anonymous
C2H5-3-PXC6H10	[CH2]CCC(C=C)CC	! Confirmed by Anonymous
PAXCH2-2-1C6H11	[CH2]C(=C)CCCC	! Confirmed by Anonymous
CH3-2-PXC4H6	[CH2]CC(=C)C	! Confirmed by Anonymous
CH3-3-TAXC6H10	C=C[C](C)CCC	! Confirmed by Anonymous
C2H5-4-SAX1C8H14	[CH2]C=CC(CC)CCCC	! Confirmed by Anonymous
C2H5-4-SAX1C7H12	[CH2]C=CC(CC)CCC	! Confirmed by Anonymous
PAXCH2-2-1C5H9	[CH2]C(=C)CCC	! Confirmed by Anonymous
SAX5-3C8H15	CCC=C[CH]CCC	! Confirmed by Anonymous
SAX4-2C7H13	CC=C[CH]CCC	! Confirmed by Anonymous
PAXCH2-2-1C4H7	[CH2]C(=C)CC	! Confirmed by Anonymous
PXCH2-3-1C7H13	[CH2]C(C=C)CCCC	! Confirmed by Anonymous
PX1-3C6H11	[CH2]CC=CCC	! Confirmed by Anonymous
PXCH2-3-1C6H11	[CH2]C(C=C)CCC	! Confirmed by Anonymous
S4XC8H15	C=CC[CH]CCCC	! Confirmed by Anonymous
PXCH2-2-C6H13	[CH2]C(C)CCCC	! Confirmed by Anonymous
PXCH2-2-C4H9	[CH2]C(C)CC	! Confirmed by Anonymous
PX10-5C10H19	[CH2]CCCC=CCCCC	! Confirmed by Anonymous
PXC4H8-2-1C6H11	[CH2]CCCC(=C)CCCC	! Confirmed by Anonymous
C2H5-2-PXC6H10	[CH2]CCCC(=C)CC	! Confirmed by Anonymous
CH2*	[CH2]	! Confirmed by Anonymous
PXC2H4-4-1C8H15	[CH2]CC(CC=C)CCCC	! Confirmed by Anonymous
PXC2H4-4-1C7H13	[CH2]CC(CC=C)CCC	! Confirmed by Anonymous

CH3-4-PXC6H10	[CH2]CC(C)CC=C	! Confirmed by Anonymous
CH3S3XcC6H10	CC1C[CH]CCC1	! Confirmed by Anonymous
PX7-2C7H13	[CH2]CCCC=CC	! Confirmed by Anonymous
CH3S2XcC6H10	CC1[CH]CCCC1	! Confirmed by Anonymous
